,name,url,promoted_content,query,tweet_volume
0,xiao,http://twitter.com/search?q=xiao,,xiao,51789.0
1,#AMAsTNT,http://twitter.com/search?q=%23AMAsTNT,,%23AMAsTNT,8607535.0
2,#BTSxAMAs,http://twitter.com/search?q=%23BTSxAMAs,,%23BTSxAMAs,5166619.0
3,#TelkomDukungUMKMmandalika,http://twitter.com/search?q=%23TelkomDukungUMKMmandalika,,%23TelkomDukungUMKMmandalika,
4,#IVE_1st_ConceptPhoto,http://twitter.com/search?q=%23IVE_1st_ConceptPhoto,,%23IVE_1st_ConceptPhoto,11268.0
5,#IkatanCintaEp520,http://twitter.com/search?q=%23IkatanCintaEp520,,%23IkatanCintaEp520,
6,Nessie,http://twitter.com/search?q=Nessie,,Nessie,20606.0
7,Edi Witjara,http://twitter.com/search?q=%22Edi+Witjara%22,,%22Edi+Witjara%22,
8,Mas Gilang,http://twitter.com/search?q=%22Mas+Gilang%22,,%22Mas+Gilang%22,
9,Ariel,http://twitter.com/search?q=Ariel,,Ariel,19763.0
10,MEW MEW SO HOT,http://twitter.com/search?q=%22MEW+MEW+SO+HOT%22,,%22MEW+MEW+SO+HOT%22,84496.0
11,Ngeluh,http://twitter.com/search?q=Ngeluh,,Ngeluh,
12,ITDC Group,http://twitter.com/search?q=%22ITDC+Group%22,,%22ITDC+Group%22,
13,Shenhe,http://twitter.com/search?q=Shenhe,,Shenhe,101627.0
14,MS Glow,http://twitter.com/search?q=%22MS+Glow%22,,%22MS+Glow%22,
15,SPBU,http://twitter.com/search?q=SPBU,,SPBU,
16,Arsyad,http://twitter.com/search?q=Arsyad,,Arsyad,
17,Kojic,http://twitter.com/search?q=Kojic,,Kojic,
18,YESEO FOR DAZED,http://twitter.com/search?q=%22YESEO+FOR+DAZED%22,,%22YESEO+FOR+DAZED%22,26557.0
19,Wine,http://twitter.com/search?q=Wine,,Wine,61051.0
20,Healing,http://twitter.com/search?q=Healing,,Healing,72536.0
21,Juragan,http://twitter.com/search?q=Juragan,,Juragan,
22,Marriage,http://twitter.com/search?q=Marriage,,Marriage,66675.0
23,Arteria,http://twitter.com/search?q=Arteria,,Arteria,
24,Bram,http://twitter.com/search?q=Bram,,Bram,
25,Sapu,http://twitter.com/search?q=Sapu,,Sapu,13300.0
26,Yunjin,http://twitter.com/search?q=Yunjin,,Yunjin,40398.0
27,Penjilat,http://twitter.com/search?q=Penjilat,,Penjilat,
28,Polearm,http://twitter.com/search?q=Polearm,,Polearm,34351.0
29,Provinsi Jawa,http://twitter.com/search?q=%22Provinsi+Jawa%22,,%22Provinsi+Jawa%22,
30,Selingkuh,http://twitter.com/search?q=Selingkuh,,Selingkuh,17058.0
31,Sejarah,http://twitter.com/search?q=Sejarah,,Sejarah,
32,Karma,http://twitter.com/search?q=Karma,,Karma,64749.0
33,Emil Salim,http://twitter.com/search?q=%22Emil+Salim%22,,%22Emil+Salim%22,
34,Operasi,http://twitter.com/search?q=Operasi,,Operasi,
35,SF9 TRAUMA OUT NOW,http://twitter.com/search?q=%22SF9+TRAUMA+OUT+NOW%22,,%22SF9+TRAUMA+OUT+NOW%22,42283.0
36,Jaksel,http://twitter.com/search?q=Jaksel,,Jaksel,28568.0
37,Dp 150k,http://twitter.com/search?q=%22Dp+150k%22,,%22Dp+150k%22,
38,Ganyu,http://twitter.com/search?q=Ganyu,,Ganyu,19127.0
39,Eula,http://twitter.com/search?q=Eula,,Eula,34489.0
40,EMS TAX,http://twitter.com/search?q=%22EMS+TAX%22,,%22EMS+TAX%22,
41,ayato,http://twitter.com/search?q=ayato,,ayato,30734.0
42,OPEN PO,http://twitter.com/search?q=%22OPEN+PO%22,,%22OPEN+PO%22,15392.0
43,Itto,http://twitter.com/search?q=Itto,,Itto,104047.0
44,Eunkwang,http://twitter.com/search?q=Eunkwang,,Eunkwang,54890.0
45,TBL TBL TBL,http://twitter.com/search?q=%22TBL+TBL+TBL%22,,%22TBL+TBL+TBL%22,16094.0
46,GO Line,http://twitter.com/search?q=%22GO+Line%22,,%22GO+Line%22,18339.0
47,#peShan,http://twitter.com/search?q=%23peShan,,%23peShan,
48,#Seungmin,http://twitter.com/search?q=%23Seungmin,,%23Seungmin,14470.0
49,#HARUKYU,http://twitter.com/search?q=%23HARUKYU,,%23HARUKYU,
